SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,INDICATORID,SUBINDICATORID,FACTORS,QUES_TYPE
2022,Q106 = 1,Language requirement of position  - Bilingual,Exigences linguistiques du poste - Bilingue,1017,Q01,36,45,4,11,4,0,0,81,4,15,81,3.98,75,2580,4,14,Language Requirement,1
2022,Q106 = 2,Language requirement of position  - Unilingual English,Exigences linguistiques du poste - Unilingue anglais,1018,Q01,40,45,3,9,3,0,0,85,3,12,85,4.1,78,2455,4,14,Language Requirement,1
2022,Q106 = 3,Language requirement of position  - Unilingual French,Exigences linguistiques du poste - Unilingue français,1019,Q01,37,50,8,0,4,0,0,88,8,4,88,4.17,79,15,4,14,Language Requirement,1
2022,Q106 = 4,Language requirement of position  - Either English or French,Exigences linguistiques du poste - L'une ou l'autre des deux langues officielles,1020,Q01,47,36,4,11,3,0,0,83,4,13,83,4.14,79,325,4,14,Language Requirement,1
2022,Q112 = 1,First official language - English,Première langue officielle - Anglais,1054,Q01,39,44,3,10,4,0,0,83,3,14,83,4.04,76,4200,4,14,Official Language,1
2020,Q112 = 1,First official language - English,Première langue officielle - Anglais,1054,Q01,38,46,3,10,2,0,0,85,3,12,85,4.09,77,3962,4,14,Official Language,1
2022,Q112 = 2,First official language - French,Première langue officielle - Français,1055,Q01,38,44,5,9,4,0,0,83,5,13,83,4.05,76,1325,4,14,Official Language,1
2020,Q112 = 2,First official language - French,Première langue officielle - Français,1055,Q01,38,46,5,8,2,0,0,84,5,10,84,4.11,78,1258,4,14,Official Language,1
2022,Q113 = 1,Provides services to public,Fournit des services au public,1056,Q01,38,47,4,8,4,0,0,85,4,11,85,4.08,77,1095,4,14,Public Service Availability,1
2020,Q113 = 1,Provides services to public,Fournit des services au public,1056,Q01,38,46,4,9,3,0,0,84,4,12,84,4.07,77,1180,4,14,Public Service Availability,1
2022,Q113 = 2,Does not provide services to public,Ne fournit pas de services au public,1057,Q01,39,44,4,10,4,0,0,82,4,14,82,4.03,76,4430,4,14,Public Service Availability,1
2020,Q113 = 2,Does not provide services to public,Ne fournit pas de services au public,1057,Q01,39,46,4,10,2,0,0,85,4,12,85,4.1,77,4042,4,14,Public Service Availability,1
2022,Q114 = 1,National Capital Region,Région de la capitale nationale,1058,Q01,38,44,4,10,4,0,0,83,4,14,83,4.04,76,4220,4,14,Location,1
2020,Q114 = 1,National Capital Region,Région de la capitale nationale,1058,Q01,38,46,4,10,2,0,0,84,4,12,84,4.09,77,4074,4,14,Location,1
2022,Q114 = 2,Ontario (excluding National Capital Region),Ontario (à l'exception de la région de la capitale nationale),1059,Q01,43,43,3,9,3,0,0,86,3,11,86,4.14,79,505,4,14,Location,1
2020,Q114 = 2,Ontario (excluding National Capital Region),Ontario (à l'exception de la région de la capitale nationale),1059,Q01,43,40,4,10,3,0,0,84,4,13,84,4.11,78,401,4,14,Location,1
2022,Q114 = 3,Quebec (excluding National Capital Region),Québec (à l'exception de la région de la capitale nationale),1060,Q01,36,46,6,9,3,0,0,82,6,12,82,4.02,76,300,4,14,Location,1
